vOTU	MI02	MI09	MI13	MI20	MII02	MII09	MII13	MII20	MIII02	MIII09	MIII13	MIII20
NODE92_06	0	0	5365	2909	0	0	4588	2497	0	0	4019	1946
NODE92_07	12736	1030	0	0	12247	0	0	0	12901	2733	0	0
NODE92_08	0	0	2340	4772	0	0	2474	4478	0	0	1778	4729
NODE92_09	6353	2230	0	0	5838	2558	0	0	6625	3995	0	0
NODE93_01	0	0	1746	1597	0	0	2551	2384	0	0	3312	3123
NODE93_02	0	0	19729	30898	0	0	16720	25667	0	0	17829	25979
NODE93_03	15948	0	0	0	15008	0	0	0	12090	0	0	0
NODE93_04	6258	1076	0	0	6442	0	0	0	6446	1834	0	0
NODE94_01	0	4103	0	0	0	4445	0	0	0	5089	0	0
NODE94_02	6353	0	0	0	6401	0	0	0	6520	1544	0	0
NODE94_03	0	0	8957	27083	0	0	8647	20862	0	0	8386	21975
NODE95_01	0	0	5395	3774	0	0	5850	3787	0	0	5524	3484
NODE95_02	0	4149	0	0	0	3633	0	0	0	4751	0	0
NODE95_03	0	0	0	5358	0	0	0	7368	0	0	0	7729
NODE96_01	16551	0	0	0	17196	0	0	0	13206	0	0	0
NODE96_02	6075	0	0	0	6126	0	0	0	5625	0	0	0
NODE97_01	0	2873	0	0	0	2894	0	0	0	3129	0	0
NODE97_02	0	0	15629	25471	0	0	15118	34146	0	0	16211	26981
NODE97_03	5048	779	0	0	4273	0	0	0	8754	2301	0	0
NODE98_01	0	8087	0	3523	0	6419	0	0	0	4562	0	5147
NODE98_02	0	14920	0	0	0	13204	0	0	0	12484	0	0
NODE98_03	0	0	4481	3484	0	0	4469	4111	0	0	5255	4409
NODE98_04	0	4291	0	0	0	4328	0	0	0	3767	0	0
NODE98_05	0	0	1768	9154	0	0	2156	8567	0	0	2110	9513
NODE98_06	12578	1021	0	0	11938	1550	0	0	11817	2365	0	0
NODE99_01	1501	3065	0	0	1435	3692	0	0	1488	4093	0	0
NODE99_02	14538	1211	0	0	14263	1683	0	0	15759	2338	0	0
vsNODE1_01	7985	4113	0	0	6204	5484	0	0	7984	6803	0	0
vsNODE1_02	0	1752	8048	40828	0	0	8481	48038	0	0	10333	60947
vsNODE10_01	9967	881	0	0	10276	0	0	0	10313	1536	0	0
vsNODE102_01	0	0	1426	3494	0	0	1126	2793	0	0	1431	2723
vsNODE106_01	0	0	1408	1353	0	0	2068	1724	0	0	3175	2060
vsNODE106_02	0	0	7169	22048	0	0	8362	22836	0	0	6991	21877
vsNODE108_01	0	0	0	12026	0	0	0	12344	0	0	0	12136
vsNODE109_01	1438	28070	0	0	0	22294	0	0	0	18478	0	0
vsNODE113_01	2770	2362	0	0	3051	3754	0	0	2753	5883	0	0
vsNODE116_01	0	0	701	5724	0	0	1207	5567	0	0	1333	15800
vsNODE117_01	0	0	652	5769	0	0	0	4335	0	0	0	4452
